county,agencies,year,population,crimesperthousand,index_total,violentperthousand,violent_total,murderperthousand,murder,"rapeperperson * 1000",rape,robberyperthousand,robbery,aggravated_assaultperthousand,aggravated_assault,propertyperthousand,property_total,burglaryperthousand,burglary,larcenyperthousand,larceny,vehicletheftperthousand,motor_vehicle_theft
Allegany,90,1992,50967,486.7000,139,56.9000,11,0.0000,0,3.5000,0,0.7000,1,52.6000,10,429.8000,128,149.7000,11,269.8000,116,10.2000,1
Bronx,9,1992,1223153,681.0000,92551,228.5000,31050,4.0000,547,4.2000,566,121.2000,16465,99.1000,13472,452.5000,61501,130.2000,17699,191.8000,26070,130.5000,17732
Broome,108,1992,213460,585.1000,2560,30.8000,127,0.4000,2,3.2000,15,5.3000,39,21.8000,71,554.4000,2433,97.0000,294,441.9000,2109,15.4000,30
Cattaraugus,99,1992,85326,545.1000,67,67.9000,21,0.2000,0,4.2000,0,3.0000,1,60.5000,20,477.2000,46,122.1000,17,342.6000,26,12.4000,3
Cayuga,72,1992,82889,511.6000,1196,45.6000,64,0.2000,0,2.8000,9,4.8000,15,37.8000,40,466.0000,1132,109.4000,155,348.5000,971,8.0000,6
Chautauqua,126,1992,142603,671.1000,29,37.4000,5,0.3000,0,2.4000,0,5.7000,0,29.0000,5,633.8000,24,127.0000,11,487.2000,12,19.6000,1
Chemung,81,1992,94954,768.7000,2,56.5000,0,0.4000,0,7.2000,0,8.9000,0,40.0000,0,712.2000,2,106.7000,1,590.3000,1,15.2000,0
Chenango,99,1992,52341,452.2000,43,43.0000,7,0.7000,0,2.8000,0,2.1000,0,37.5000,7,409.2000,36,111.1000,8,286.8000,28,11.3000,0
Clinton,81,1992,85555,435.3000,2,44.2000,0,0.4000,0,2.3000,0,1.1000,0,40.4000,0,391.1000,2,93.4000,1,293.9000,1,3.8000,0
Columbia,90,1992,63228,533.8000,119,76.6000,29,0.0000,0,2.0000,1,8.5000,1,66.0000,27,457.2000,90,127.3000,22,314.9000,68,15.1000,0
Cortland,63,1992,49500,766.5000,1095,40.0000,42,1.1000,3,6.9000,14,5.5000,8,26.5000,17,726.5000,1053,128.7000,183,580.4000,845,17.5000,25
Delaware,90,1992,48021,403.3000,3,31.9000,0,0.0000,0,2.6000,0,2.2000,0,27.0000,0,371.5000,3,124.1000,1,237.6000,2,9.7000,0
Dutchess,162,1992,264450,615.7000,326,69.2000,67,0.6000,0,2.7000,3,20.8000,16,45.1000,48,546.5000,259,123.6000,80,398.6000,157,24.3000,22
Erie,261,1992,976538,1037.8000,11,157.0000,6,1.6000,0,7.8000,0,61.3000,0,86.2000,6,880.9000,5,226.5000,1,512.1000,4,142.3000,0
Essex,45,1992,37619,416.8000,871,42.1000,88,1.0000,2,1.9000,4,0.5000,1,38.8000,81,374.7000,783,114.4000,239,255.5000,534,4.8000,10
Franklin,45,1992,48702,392.9000,1063,59.1000,160,0.4000,1,3.3000,9,1.8000,5,53.6000,145,333.7000,903,102.0000,276,223.6000,605,8.1000,22
Fulton,54,1992,54814,677.8000,2064,40.4000,123,0.3000,1,5.6000,17,6.2000,19,28.2000,86,637.4000,1941,172.1000,524,439.0000,1337,26.3000,80
Genesee,63,1992,60856,522.6000,787,23.4000,20,0.0000,0,4.1000,3,3.5000,5,15.7000,12,499.3000,767,113.3000,119,372.1000,637,13.9000,11
Greene,81,1992,46243,548.1000,46,101.6000,8,0.4000,0,4.3000,2,3.1000,0,93.8000,6,446.5000,38,156.9000,12,277.9000,26,11.7000,0
Hamilton,36,1992,5366,489.8000,146,6.7000,2,0.0000,0,6.7000,2,0.0000,0,0.0000,0,483.0000,144,194.6000,58,271.7000,81,16.8000,5
Herkimer,99,1992,66602,466.7000,1727,52.2000,193,0.0000,0,3.2000,12,1.4000,5,47.6000,176,414.6000,1534,116.2000,430,287.6000,1064,10.8000,40
Jefferson,135,1992,114463,440.6000,30,39.2000,1,0.3000,0,8.3000,0,4.7000,0,25.8000,1,401.5000,29,109.6000,11,285.7000,15,6.1000,3
Kings,9,1992,2327759,683.2000,176699,219.2000,56682,2.5000,652,4.1000,1065,125.5000,32458,87.0000,22507,464.0000,120017,125.9000,32561,185.6000,47996,152.6000,39460
Lewis,36,1992,27165,197.5000,298,15.9000,24,0.7000,1,2.0000,3,0.0000,0,13.3000,20,181.6000,274,85.5000,129,88.8000,134,7.3000,11
Livingston,99,1992,63512,505.3000,67,34.3000,1,0.3000,0,4.0000,0,1.4000,0,28.6000,1,471.0000,66,78.5000,10,382.6000,56,9.9000,0
Madison,99,1992,70660,451.7000,111,21.9000,0,1.0000,0,2.3000,0,2.0000,0,16.6000,0,429.7000,111,89.4000,22,331.4000,87,8.9000,2
Monroe,144,1992,729060,1098.0000,1173,73.7000,28,1.4000,0,5.5000,5,42.9000,16,23.9000,7,1024.3000,1145,228.2000,155,701.2000,914,94.9000,76
Montgomery,63,1992,51928,343.5000,409,10.4000,12,0.3000,0,0.3000,1,2.1000,3,7.6000,8,333.1000,397,84.6000,131,235.4000,246,13.2000,20
Nassau,243,1992,1299575,556.8000,10,51.5000,0,0.3000,0,1.7000,0,27.1000,0,22.4000,0,505.3000,10,96.3000,3,293.4000,4,115.6000,3
"New York",9,1992,1485877,1138.4000,187947,228.9000,37788,2.5000,417,3.6000,601,132.6000,21895,90.1000,14875,909.5000,150159,150.5000,24853,652.9000,107788,106.1000,17518
Niagara,99,1992,221952,818.1000,10088,88.2000,1087,0.6000,7,7.4000,91,25.2000,311,55.0000,678,730.0000,9001,180.0000,2219,498.4000,6146,51.6000,636
Oneida,180,1992,253819,648.2000,15,43.8000,6,0.4000,0,4.8000,0,14.5000,0,24.0000,6,604.4000,9,130.6000,2,446.1000,7,27.7000,0
Onondaga,198,1992,473971,811.3000,223,72.7000,1,0.6000,0,5.3000,1,28.9000,0,37.9000,0,738.6000,222,178.3000,38,524.4000,179,35.8000,5
Ontario,72,1992,97623,464.1000,353,25.1000,9,0.6000,0,2.4000,2,4.4000,3,17.7000,4,439.0000,344,89.4000,43,337.8000,290,11.8000,11
