county,agencies,year,population,crimesperperson,index_total,violentperperson,violent_total,murderperperson,murder,rapeperperson,rape,robberyperperson,robbery,aggravated_assaultperperson,aggravated_assault,propertyperperson,property_total,burglaryperperson,burglary,larcenyperperson,larceny,vehicletheftperperson,motor_vehicle_theft
Broome,12,1992,213460,0.0650,2560,0.0034,127,0.0000,2,0.0004,15,0.0006,39,0.0024,71,0.0616,2433,0.0108,294,0.0491,2109,0.0017,30
Cattaraugus,11,1992,85326,0.0606,67,0.0075,21,0.0000,0,0.0005,0,0.0003,1,0.0067,20,0.0530,46,0.0136,17,0.0381,26,0.0014,3
Cayuga,8,1992,82889,0.0568,1196,0.0051,64,0.0000,0,0.0003,9,0.0005,15,0.0042,40,0.0518,1132,0.0122,155,0.0387,971,0.0009,6
Chautauqua,14,1992,142603,0.0746,29,0.0042,5,0.0000,0,0.0003,0,0.0006,0,0.0032,5,0.0704,24,0.0141,11,0.0541,12,0.0022,1
Chemung,9,1992,94954,0.0854,2,0.0063,0,0.0000,0,0.0008,0,0.0010,0,0.0044,0,0.0791,2,0.0119,1,0.0656,1,0.0017,0
Chenango,11,1992,52341,0.0502,43,0.0048,7,0.0001,0,0.0003,0,0.0002,0,0.0042,7,0.0455,36,0.0123,8,0.0319,28,0.0013,0
Clinton,9,1992,85555,0.0484,2,0.0049,0,0.0000,0,0.0003,0,0.0001,0,0.0045,0,0.0435,2,0.0104,1,0.0327,1,0.0004,0
Columbia,10,1992,63228,0.0593,119,0.0085,29,0.0000,0,0.0002,1,0.0009,1,0.0073,27,0.0508,90,0.0141,22,0.0350,68,0.0017,0
Cortland,7,1992,49500,0.0852,1095,0.0044,42,0.0001,3,0.0008,14,0.0006,8,0.0029,17,0.0807,1053,0.0143,183,0.0645,845,0.0019,25
Delaware,10,1992,48021,0.0448,3,0.0035,0,0.0000,0,0.0003,0,0.0002,0,0.0030,0,0.0413,3,0.0138,1,0.0264,2,0.0011,0
Dutchess,18,1992,264450,0.0684,326,0.0077,67,0.0001,0,0.0003,3,0.0023,16,0.0050,48,0.0607,259,0.0137,80,0.0443,157,0.0027,22
Erie,29,1992,976538,0.1153,11,0.0174,6,0.0002,0,0.0009,0,0.0068,0,0.0096,6,0.0979,5,0.0252,1,0.0569,4,0.0158,0
Essex,5,1992,37619,0.0463,871,0.0047,88,0.0001,2,0.0002,4,0.0001,1,0.0043,81,0.0416,783,0.0127,239,0.0284,534,0.0005,10
Franklin,5,1992,48702,0.0437,1063,0.0066,160,0.0000,1,0.0004,9,0.0002,5,0.0060,145,0.0371,903,0.0113,276,0.0248,605,0.0009,22
Fulton,6,1992,54814,0.0753,2064,0.0045,123,0.0000,1,0.0006,17,0.0007,19,0.0031,86,0.0708,1941,0.0191,524,0.0488,1337,0.0029,80
Genesee,7,1992,60856,0.0581,787,0.0026,20,0.0000,0,0.0005,3,0.0004,5,0.0017,12,0.0555,767,0.0126,119,0.0413,637,0.0015,11
Greene,9,1992,46243,0.0609,46,0.0113,8,0.0000,0,0.0005,2,0.0003,0,0.0104,6,0.0496,38,0.0174,12,0.0309,26,0.0013,0
Hamilton,4,1992,5366,0.0544,146,0.0007,2,0.0000,0,0.0007,2,0.0000,0,0.0000,0,0.0537,144,0.0216,58,0.0302,81,0.0019,5
Herkimer,11,1992,66602,0.0519,1727,0.0058,193,0.0000,0,0.0004,12,0.0002,5,0.0053,176,0.0461,1534,0.0129,430,0.0320,1064,0.0012,40
Jefferson,15,1992,114463,0.0490,30,0.0044,1,0.0000,0,0.0009,0,0.0005,0,0.0029,1,0.0446,29,0.0122,11,0.0317,15,0.0007,3
Kings,1,1992,2327759,0.0759,176699,0.0244,56682,0.0003,652,0.0005,1065,0.0139,32458,0.0097,22507,0.0516,120017,0.0140,32561,0.0206,47996,0.0170,39460
Lewis,4,1992,27165,0.0219,298,0.0018,24,0.0001,1,0.0002,3,0.0000,0,0.0015,20,0.0202,274,0.0095,129,0.0099,134,0.0008,11
Livingston,11,1992,63512,0.0561,67,0.0038,1,0.0000,0,0.0004,0,0.0002,0,0.0032,1,0.0523,66,0.0087,10,0.0425,56,0.0011,0
